testing_set_index	precision	recall	F1	MCC	AUC	fungal_FP	bacterial_FP	viral_FN	toolcombo	numtools
10	0.33771106941838647	0.72	0.45977011494252873	0.40880317677272987	0.8914	71	5431	280	1 0 0 0 1 0	2
10	0.33771106941838647	0.72	0.45977011494252873	0.40880317677272987	0.8924	71	5431	280	1 0 0 1 1 0	3
10	0.33771106941838647	0.72	0.45977011494252873	0.40880317677272987	0.8914	71	5431	280	1 1 0 0 1 0	3
10	0.33771106941838647	0.72	0.45977011494252873	0.40880317677272987	0.8924	71	5431	280	1 1 0 1 1 0	4
3	0.38500315059861373	0.611	0.4723618090452261	0.40948842371059835	0.8119	0	5645	389	0 0 0 0 1 0	1
3	0.38500315059861373	0.611	0.4723618090452261	0.40948842371059835	0.8119	0	5645	389	0 1 0 0 1 0	2
1	0.37331772966647164	0.638	0.4710225175341454	0.41034675436352913	0.8087	0	5544	362	0 0 0 0 1 0	1
1	0.37331772966647164	0.638	0.4710225175341454	0.41034675436352913	0.8087	0	5544	362	0 1 0 0 1 0	2
7	0.37369033760186265	0.642	0.47240618101545256	0.4122007895294313	0.826	0	5539	358	0 0 0 1 1 0	2
7	0.37369033760186265	0.642	0.47240618101545256	0.4122007895294313	0.826	0	5539	358	0 1 0 1 1 0	3
5	0.3807829181494662	0.642	0.47803425167535374	0.4182500018338673	0.827	162	5572	358	0 0 0 1 1 0	2
5	0.3807829181494662	0.642	0.47803425167535374	0.4182500018338673	0.827	162	5572	358	0 1 0 1 1 0	3
9	0.3691460055096419	0.67	0.4760213143872114	0.4190630787001011	0.8494	162	5464	330	0 0 0 1 1 1	3
9	0.3691460055096419	0.67	0.4760213143872114	0.4190630787001011	0.8494	162	5464	330	0 1 0 1 1 1	4
7	0.3770207852193995	0.653	0.4780380673499267	0.4193561182889132	0.8379	0	5534	347	0 0 0 0 1 1	2
7	0.3770207852193995	0.653	0.4780380673499267	0.4193561182889132	0.8379	0	5534	347	0 1 0 0 1 1	3
6	0.38120567375886527	0.645	0.4791976225854384	0.4196542214631991	0.8408	0	5579	355	0 0 0 1 1 0	2
6	0.38120567375886527	0.645	0.4791976225854384	0.4196542214631991	0.8408	0	5579	355	0 1 0 1 1 0	3
9	0.34421641791044777	0.738	0.4694656488549618	0.42163223373349856	0.9034	73	5421	262	1 0 0 1 1 0	3
9	0.34421641791044777	0.738	0.4694656488549618	0.42163223373349856	0.9034	73	5421	262	1 1 0 1 1 0	4
9	0.34469873890705277	0.738	0.4699140401146132	0.4220981667182044	0.9	73	5424	262	1 0 0 0 1 0	2
9	0.34469873890705277	0.738	0.4699140401146132	0.4220981667182044	0.9	73	5424	262	1 1 0 0 1 0	3
7	0.3517174649250121	0.727	0.47407890446690587	0.42479298770510987	0.9008	77	5505	273	1 0 0 1 1 0	3
7	0.3517174649250121	0.727	0.47407890446690587	0.42479298770510987	0.9008	77	5505	273	1 1 0 1 1 0	4
7	0.35205811138014526	0.727	0.47438825448613375	0.42511471584619637	0.8971	77	5506	273	1 0 0 0 1 0	2
7	0.35205811138014526	0.727	0.47438825448613375	0.42511471584619637	0.8971	77	5506	273	1 1 0 0 1 0	3
5	0.3840281855549031	0.654	0.48390677025527185	0.42573442052649274	0.8378	161	5566	346	0 0 0 0 1 1	2
5	0.3840281855549031	0.654	0.48390677025527185	0.42573442052649274	0.8378	161	5566	346	0 1 0 0 1 1	3
5	0.35668156979632387	0.718	0.47660139395950873	0.4261038531268193	0.9026	92	5511	282	1 0 0 1 1 0	3
5	0.35668156979632387	0.718	0.47660139395950873	0.4261038531268193	0.9026	92	5511	282	1 1 0 1 1 0	4
5	0.3572139303482587	0.718	0.47707641196013295	0.42659867034194676	0.9002	92	5514	282	1 0 0 0 1 0	2
5	0.3572139303482587	0.718	0.47707641196013295	0.42659867034194676	0.9002	92	5514	282	1 1 0 0 1 0	3
2	0.33263334733305333	0.792	0.46850044365572313	0.4297616050417852	0.9047	74	5292	208	1 0 0 1 1 1	4
