testing_set_index	precision	recall	F1	MCC	AUC	fungal_FP	protist_FP	bacterial_FP	viral_FN	toolcombo	numtools
6	0.7220708446866485	0.265	0.38771031455742505	0.4033427618490729	0.9635	0	448	6421	735	0 1 1 0 0 1	3
10	0.6490486257928119	0.307	0.41683638832315006	0.4061961944114796	0.956	0	497	6330	693	0 1 1 1 1 0	4
9	0.9066666666666666	0.204	0.33306122448979586	0.4070401718933643	0.9681	0	0	6446	796	0 0 1 1 0 0	2
2	0.6492693110647182	0.311	0.42055442866801895	0.40903224275462013	0.7937	0	408	6408	689	0 0 0 0 0 1	1
2	0.9147982062780269	0.204	0.3336058871627146	0.40928578280769795	0.9684	0	0	6454	796	0 0 1 1 0 0	2
4	0.6460905349794238	0.314	0.4226110363391656	0.4098019295702883	0.7847	171	404	6406	686	0 0 0 0 0 1	1
7	0.6482617586912065	0.317	0.42578912021490933	0.41277388743740484	0.8003	168	403	6406	683	0 0 0 0 0 1	1
9	0.7044334975369458	0.286	0.40682788051209107	0.41302672428348874	0.9585	0	427	6423	714	0 1 1 0 0 1	3
8	0.6995192307692307	0.291	0.41101694915254233	0.41491849473185893	0.9597	0	427	6428	709	0 1 1 0 0 1	3
1	0.6976190476190476	0.293	0.4126760563380281	0.41567292860153876	0.9594	0	427	6411	707	0 1 1 0 0 1	3
3	0.9210526315789473	0.21	0.34201954397394135	0.4171912844380639	0.9683	0	0	6462	790	0 0 1 1 0 0	2
4	0.6838565022421524	0.305	0.42185338865836786	0.419001405226185	0.9575	170	427	6406	695	0 1 1 0 0 1	3
2	0.4166666666666667	0.575	0.4831932773109243	0.41934751460397146	0.821	152	280	6006	425	0 1 0 1 1 0	3
4	0.9298245614035088	0.212	0.3452768729641694	0.4216494064933068	0.9679	0	0	6454	788	0 0 1 1 0 0	2
1	0.9375	0.21	0.3431372549019608	0.421733063360329	0.9747	0	0	6449	790	0 0 1 1 0 0	2
7	0.7009345794392523	0.3	0.42016806722689076	0.42212708317985276	0.9605	168	429	6417	700	0 1 1 0 0 1	3
10	0.6531007751937985	0.337	0.44459102902374675	0.4284183908306794	0.8064	0	401	6405	663	0 0 0 0 0 1	1
5	0.7090069284064665	0.307	0.42847173761339846	0.43045078750583265	0.9616	0	428	6425	693	0 1 1 0 0 1	3
3	0.8484848484848485	0.252	0.3885890516576716	0.4354747824391883	0.9662	0	473	6461	748	0 0 1 0 0 1	2
6	0.9233870967741935	0.229	0.36698717948717946	0.4367562918507632	0.9727	0	488	6462	771	0 0 1 0 0 1	2
4	0.43500738552437224	0.589	0.5004248088360238	0.4391092093405046	0.8354	167	283	6030	411	0 1 0 1 1 0	3
10	0.7120535714285714	0.319	0.44060773480662985	0.440398485046715	0.9629	0	425	6425	681	0 1 1 0 0 1	3
