"","toolcombo","toolcombo2","assembly","num_viruses","prop_vir","numtools","environment"
"4162","0 1 1 1 1 1","0 DVF tnv VB VS VS2","Fa13NDMLBSNFa13NDMLBSNFD",3479,0.741949242908936,5,"Lake_Michigan"
"4163","1 1 1 0 0 1","tv DVF tnv 0 0 VS2","Sp13VDMM15DDSp13VDMM15DDFD",617,0.742478941034898,4,"Lake_Michigan"
"4164","1 1 1 0 1 1","tv DVF tnv 0 VS VS2","Sp13VDMM15DDSp13VDMM15DDFD",617,0.742478941034898,5,"Lake_Michigan"
"4165","1 1 1 1 0 1","tv DVF tnv VB 0 VS2","Sp13VDMM15DDSp13VDMM15DDFD",622,0.74849578820698,5,"Lake_Michigan"
"4166","1 1 1 1 1 1","tv DVF tnv VB VS VS2","Sp13VDMM15DDSp13VDMM15DDFD",622,0.74849578820698,6,"Lake_Michigan"
"4167","1 0 1 0 0 1","tv 0 tnv 0 0 VS2","Fa13NDMLBSNFa13NDMLBSNFD",3534,0.753678822776711,3,"Lake_Michigan"
"4168","1 0 1 0 1 1","tv 0 tnv 0 VS VS2","Fa13NDMLBSNFa13NDMLBSNFD",3534,0.753678822776711,4,"Lake_Michigan"
"4169","1 0 1 1 0 1","tv 0 tnv VB 0 VS2","Fa13NDMLBSNFa13NDMLBSNFD",3538,0.754531883130731,4,"Lake_Michigan"
"4170","1 0 1 1 1 1","tv 0 tnv VB VS VS2","Fa13NDMLBSNFa13NDMLBSNFD",3538,0.754531883130731,5,"Lake_Michigan"
"4171","1 1 1 0 0 1","tv DVF tnv 0 0 VS2","Sp13NDMM110SNSp13NDMM110SNFD",391,0.769685039370079,4,"Lake_Michigan"
"4172","1 1 1 0 1 1","tv DVF tnv 0 VS VS2","Sp13NDMM110SNSp13NDMM110SNFD",391,0.769685039370079,5,"Lake_Michigan"
"4173","1 1 1 1 0 1","tv DVF tnv VB 0 VS2","Sp13NDMM110SNSp13NDMM110SNFD",391,0.769685039370079,5,"Lake_Michigan"
"4174","1 1 1 1 1 1","tv DVF tnv VB VS VS2","Sp13NDMM110SNSp13NDMM110SNFD",391,0.769685039370079,6,"Lake_Michigan"
"4175","1 1 0 0 0 0","tv DVF 0 0 0 0","Su13VDMM15SNSu13VDMM15SNFD",121,0.775641025641026,2,"Lake_Michigan"
